Index,lng,lat,density
91,103.9756465,1.379062148,29
92,103.9756465,1.406041797,0
93,103.9756465,1.433021445,0
94,103.9756465,1.460001093,0
95,103.9756465,1.325102852,0
96,103.9756465,1.298123204,0
97,103.9756465,1.271143556,0
98,103.9756465,1.244163908,0
99,103.9912275,1.35208245,4
100,103.9912275,1.379062098,8
101,103.9912275,1.406041747,0
102,103.9912275,1.433021395,0
103,103.9912275,1.460001043,0
104,103.9912275,1.325102802,0
105,103.9912275,1.298123154,0
106,103.9912275,1.271143506,0
107,103.9912275,1.244163858,0
108,104.0068085,1.3520824,0
109,104.0068085,1.379062048,1
110,104.0068085,1.406041697,0
111,104.0068085,1.433021345,0
112,104.0068085,1.460000993,0
113,104.0068085,1.325102752,0
114,104.0068085,1.298123104,0
115,104.0068085,1.271143456,0
116,104.0068085,1.244163808,0
117,103.804255,1.379062598,0
118,103.804255,1.406042246,6
119,103.804255,1.433021895,24
120,103.804255,1.460001543,35
121,103.804255,1.325103302,15
122,103.804255,1.298123654,42
123,103.804255,1.271144005,25
124,103.804255,1.244164357,0
125,103.804255,1.35208295,0
126,103.7886739,1.379062548,0
127,103.7886739,1.406042196,7
128,103.7886739,1.433021845,59
129,103.7886739,1.460001493,5
130,103.7886739,1.325103252,22
131,103.7886739,1.298123604,52
132,103.7886739,1.271143956,10
133,103.7886739,1.244164307,0
134,103.7886739,1.3520829,0
135,103.7730929,1.379062498,37
136,103.7730929,1.406042146,9
137,103.7730929,1.433021795,48
138,103.7730929,1.460001443,3
139,103.7730929,1.325103202,27
140,103.7730929,1.298123554,49
141,103.7730929,1.271143906,0
142,103.7730929,1.244164257,0
143,103.7730929,1.35208285,14
144,103.7575118,1.379062448,53
145,103.7575118,1.406042096,31
146,103.7575118,1.433021745,22
147,103.7575118,1.460001393,2
148,103.7575118,1.325103152,24
149,103.7575118,1.298123504,20
150,103.7575118,1.271143856,0
151,103.7575118,1.244164207,0
152,103.7575118,1.3520828,52
153,103.7419308,1.379062398,48
154,103.7419308,1.406042046,9
155,103.7419308,1.433021695,15
156,103.7419308,1.460001343,0
157,103.7419308,1.325103102,41
158,103.7419308,1.298123454,10
159,103.7419308,1.271143806,0
160,103.7419308,1.244164157,0
161,103.7419308,1.35208275,39
162,103.7263497,1.379062348,10
163,103.7263497,1.406041997,0
164,103.7263497,1.433021645,2
165,103.7263497,1.460001293,0
166,103.7263497,1.325103052,31
167,103.7263497,1.298123404,0
168,103.7263497,1.271143756,0
169,103.7263497,1.244164107,0
170,103.7263497,1.3520827,38
171,103.7107687,1.379062298,6
172,103.7107687,1.406041947,0
173,103.7107687,1.433021595,12
174,103.7107687,1.460001243,0
175,103.7107687,1.325103002,39
176,103.7107687,1.298123354,0
177,103.7107687,1.271143706,1
178,103.7107687,1.244164057,0
179,103.7107687,1.35208265,38
180,103.6951876,1.379062248,21
181,103.6951876,1.406041897,10
182,103.6951876,1.433021545,0
183,103.6951876,1.460001193,0
184,103.6951876,1.325102952,40
185,103.6951876,1.298123304,7
186,103.6951876,1.271143656,0
187,103.6951876,1.244164007,0
188,103.6951876,1.3520826,37
189,103.6796066,1.379062198,1
190,103.6796066,1.406041847,0
191,103.6796066,1.433021495,0
192,103.6796066,1.460001143,0
193,103.6796066,1.325102902,49
194,103.6796066,1.298123254,9
195,103.6796066,1.271143606,0
196,103.6796066,1.244163958,0
197,103.6796066,1.35208255,13
198,103.6640255,1.379062148,0
